117500.413335	321016.919557	326971.337438	39.792426	3439590546.184445	21.436615	85.631862	17655.760813	80.102027	81078.202670	
796.897703	85719.692951	38246.450979	10.064349	229865.399013	21.016393	38.994497	13593.452678	19.536952	21597.313542	
57.426910	38990.576632	761.628794	2.160438	2686.068161	20.644742	15.061040	12256.280119	9.074113	9978.193552	
10.683164	15439.536425	9.523565	0.836675	343.124703	17.781912	3.473503	11281.267004	4.651466	4717.402335	
3.743008	3989.122082	0.050465	0.227404	132.900041	11.935644	0.553039	8927.443595	2.672832	2477.222089	
1.453327	1231.883770	0.000156	0.030757	75.297216	7.272373	0.074791	6076.876152	1.740261	1409.107292	
0.647665	420.198750	0.000000	0.004031	39.331993	4.212576	0.009589	3867.386296	1.343358	923.162925	
0.277301	125.289217	0.000000	0.000485	18.547096	2.565566	0.001108	2306.309620	1.162172	660.704147	
0.120598	20.420967	0.000000	0.000040	7.399627	1.630561	0.000097	1268.918613	1.069057	525.231601	
0.041900	2.541442	0.000000	0.000001	2.320905	0.978081	0.000003	698.806674	0.988553	416.516137	
0.012680	0.714534	0.000000	0.000000	0.590145	0.706106	0.000000	392.807885	0.739206	365.701343	
